id,verification_status
18053,1
5088,1
2264,0
3352,0
10928,0
13659,0
24110,1
3598,0
32450,0
38128,1
16013,1
60012,1
11449,0
9244,0
434,0
10954,1
3135,1
10394,1
15455,1
26207,0
6314,0
8375,0
42795,1
3712,0
10252,0
25605,1
27463,1
4226,1
16828,0
8510,1
5457,0
2844,0
6022,1
52396,1
57502,1
9157,0
10053,1
8545,0
11191,1
6548,1
4272,1
42864,1
1757,0
58741,0
47538,1
18741,1
33861,1
52693,1
5397,0
1818,1
59,1
8333,1
11077,0
24564,0
437,0
12620,1
4171,1
9058,0
42923,1
3515,0
8838,1
27824,1
26512,1
17233,1
51075,1
24346,1
44946,1
42036,1
29952,1
16189,1
8107,1
2808,0
7413,0
243,1
8133,0
53236,1
4463,0
2972,1
2493,0
4884,0
16489,1
8529,1
21282,0
7295,1
14257,1
13313,1
58787,1
5812,0
3456,0
7222,1
4425,0
4312,1
8082,0
2818,1
47036,1
7144,1
3969,0
59527,1
7607,0
23681,1
3019,0
10542,0
5279,1
8585,1
16943,1
58966,1
907,1
40294,1
44218,1
2905,0
11304,0
43131,1
38263,1
10663,1
4013,1
3211,1
26254,0
50991,1
20358,1
5724,1
57460,1
6786,0
56383,1
58304,1
59401,1
57516,1
3207,1
1772,0
18867,1
4436,1
9185,1
40040,1
26811,1
48578,1
4723,0
52741,1
7477,0
7400,1
29420,1
11658,1
7160,0
269,0
10807,0
32560,1
2619,0
43816,1
13790,1
43568,1
31233,1
7467,0
13304,1
2637,0
758,0
52759,1
11190,0
3913,1
5105,0
19463,0
7243,0
3751,0
3996,1
43286,1
1911,1
12739,1
9701,1
8774,0
28795,1
4234,0
7393,0
11117,0
21693,1
18703,1
9643,0
84,0
38436,1
3373,1
4920,1
54291,1
12010,0
11303,1
2928,0
27680,1
8668,0
4167,0
51617,1
7374,0
3395,0
40299,1
14715,0
52832,1
36967,1
2866,0
15605,0
5654,1
370,1
3997,0
30253,1
32739,1
58182,1
40598,1
40815,1
17493,1
24395,1
8611,0
3292,1
39198,1
4774,1
3377,0
25461,1
15294,1
28652,1
8537,0
7571,1
36021,0
8904,0
8722,0
57437,1
1171,1
15893,1
23550,1
7044,1
44038,0
9736,1
7887,1
14976,1
6900,1
16277,1
54798,1
4776,1
18827,1
3747,0
30285,1
6896,1
16584,1
5771,0
60036,1
2377,0
49479,0
23010,1
58756,1
233,1
10724,0
26123,1
32768,1
29410,0
15133,1
2121,0
49857,1
49332,0
34324,0
4988,0
39357,1
387,1
5028,1
2824,1
4644,0
20604,1
807,1
33753,1
38702,1
2404,0
49804,1
10228,1
10544,0
10128,0
9224,1
11530,0
8412,1
5107,0
41734,1
8274,0
7798,1
22180,1
11509,0
9865,1
47911,1
15797,0
3075,0
16369,1
30645,1
7522,0
28663,1
21702,1
6852,0
25398,1
8323,0
11676,0
13613,1
59260,1
8945,0
41388,1
4958,0
5101,0
31900,1
20891,1
6523,0
595,0
11250,0
50487,1
4744,0
10916,1
53575,1
45061,1
29815,1
734,0
11222,0
8926,0
999,0
11745,0
5849,0
23541,0
18063,1
211,0
3556,1
10074,0
5606,1
34905,1
36708,1
46137,1
119,0
2508,0
1801,0
7649,1
1639,1
50037,0
169,0
34886,1
3677,0
56615,1
8657,1
3676,0
5184,0
58477,1
1713,0
4488,1
47843,1
24820,1
10344,0
21561,1
9139,0
36159,0
49341,1
42051,0
14078,1
6386,1
11095,0
5966,0
2745,0
7133,1
46473,1
11501,0
6528,1
18319,0
8178,0
22789,0
1990,0
3754,0
1332,0
19974,0
5388,1
1975,0
10761,0
4268,0
4987,0
6066,0
18671,1
2429,1
11849,1
54792,0
9069,1
5933,0
996,0
40122,1
6382,1
35383,1
11802,1
3399,0
2713,0
8855,1
2067,0
5537,1
2776,1
36134,1
2705,0
461,0
8034,1
11310,1
40663,1
5610,1
4838,1
2529,0
928,0
6495,0
14664,1
9738,1
6490,0
5705,0
51834,0
35782,1
275,0
857,0
48414,0
54535,1
8121,0
9538,0
8933,1
6693,0
2889,0
10538,0
9091,1
5181,1
5787,0
32098,1
49487,1
53040,1
35509,1
263,0
3286,0
24363,1
41648,1
4365,1
11144,1
56040,1
24310,1
7665,0
6995,0
48780,1
2963,0
31251,1
7357,0
11188,1
52791,0
56401,0
58788,1
21212,1
3510,1
8696,0
18059,1
33448,1
4638,1
17910,1
48446,1
2411,1
1023,0
5508,0
5934,0
56833,1
3612,1
4049,1
39796,0
11172,0
49658,1
39626,0
59733,1
4485,1
231,0
21567,1
32281,1
1173,0
9807,1
1373,1
52866,1
41194,1
7565,0
2343,1
9637,1
32380,1
3014,0
4667,0
6732,0
36102,1
6850,0
24010,1
5564,1
55304,1
11989,0
7611,1
8359,1
3090,1
8002,1
23968,1
297,0
42144,1
2512,0
34066,1
267,0
11997,1
6391,0
11810,1
56804,1
56632,1
41838,1
10525,0
27307,0
9525,1
1140,0
38221,1
15011,1
36239,1
6091,0
31125,1
121,0
9239,0
97,0
7352,0
43059,1
4149,1
6388,0
8560,1
6893,0
3731,1
6464,0
5910,1
8744,0
10168,1
3793,0
22236,0
58921,1
7208,0
26932,1
123,1
5092,0
42000,1
35975,1
19662,1
37853,0
3022,1
699,0
9914,0
651,0
4810,0
2098,1
100,1
11321,0
767,0
8136,0
10579,0
6415,0
6538,0
3237,0
6497,0
52214,1
2779,1
6325,1
10547,1
6360,0
4759,0
5419,0
8610,1
7432,0
53427,1
13063,1
5673,0
11053,1
6662,0
13434,1
3137,0
2606,0
38817,0
24857,1
17477,1
40653,1
3495,1
2324,1
